text,label
"Java, Deep Learning and have worked on related projects.","Java, Deep Learning"
"Azure, Ruby, Leadership, Penetration Testing and have worked on related projects.","Azure, Ruby, Leadership, Penetration Testing"
"Ansible, SOC Analysis, Pandas, Problem Solving and have worked on related projects.","Ansible, SOC Analysis, Pandas, Problem Solving"
"AWS, Teamwork, Pandas and have worked on related projects.","AWS, Teamwork, Pandas"
"PyTorch, Communication, Python, CI/CD and have worked on related projects.","PyTorch, Communication, Python, CI/CD"
"Leadership, Penetration Testing and have worked on related projects.","Leadership, Penetration Testing"
"TensorFlow, SQL, CI/CD and have worked on related projects.","TensorFlow, SQL, CI/CD"
"Penetration Testing, Time Management, Machine Learning and have worked on related projects.","Penetration Testing, Time Management, Machine Learning"
"Azure, C++ and have worked on related projects.","Azure, C++"
"PyTorch, JavaScript and have worked on related projects.","PyTorch, JavaScript"
"Swift, Machine Learning and have worked on related projects.","Swift, Machine Learning"
"Kubernetes, Ethical Hacking, Scikit-learn and have worked on related projects.","Kubernetes, Ethical Hacking, Scikit-learn"
"TensorFlow, CI/CD, Penetration Testing and have worked on related projects.","TensorFlow, CI/CD, Penetration Testing"
"SIEM, Kubernetes, Leadership, PyTorch and have worked on related projects.","SIEM, Kubernetes, Leadership, PyTorch"
"SIEM, Kubernetes, Leadership and have worked on related projects.","SIEM, Kubernetes, Leadership"
"SIEM, Machine Learning, C++ and have worked on related projects.","SIEM, Machine Learning, C++"
"Kubernetes, Scikit-learn and have worked on related projects.","Kubernetes, Scikit-learn"
"Leadership, Jenkins, JavaScript, Deep Learning and have worked on related projects.","Leadership, Jenkins, JavaScript, Deep Learning"
"Communication, Terraform, TensorFlow, Ethical Hacking and have worked on related projects.","Communication, Terraform, TensorFlow, Ethical Hacking"
"Machine Learning, Ethical Hacking, Ruby, Time Management and have worked on related projects.","Machine Learning, Ethical Hacking, Ruby, Time Management"
"Python, Deep Learning and have worked on related projects.","Python, Deep Learning"
"Deep Learning, Ruby, Teamwork and have worked on related projects.","Deep Learning, Ruby, Teamwork"
"SQL, Teamwork, Ansible, Ethical Hacking and have worked on related projects.","SQL, Teamwork, Ansible, Ethical Hacking"
"Jenkins, Penetration Testing, Problem Solving, SQL and have worked on related projects.","Jenkins, Penetration Testing, Problem Solving, SQL"
"GCP, Network Security, Machine Learning and have worked on related projects.","GCP, Network Security, Machine Learning"
"Ansible, Time Management, Pandas, Swift and have worked on related projects.","Ansible, Time Management, Pandas, Swift"
"Teamwork, C++ and have worked on related projects.","Teamwork, C++"
"SQL, Network Security and have worked on related projects.","SQL, Network Security"
"CI/CD, Time Management, Pandas, Penetration Testing and have worked on related projects.","CI/CD, Time Management, Pandas, Penetration Testing"
"Machine Learning, Azure, SQL and have worked on related projects.","Machine Learning, Azure, SQL"
"Deep Learning, Java and have worked on related projects.","Deep Learning, Java"
"Ansible, C++, Communication, Deep Learning and have worked on related projects.","Ansible, C++, Communication, Deep Learning"
"TensorFlow, Communication and have worked on related projects.","TensorFlow, Communication"
"Deep Learning, Time Management, C++ and have worked on related projects.","Deep Learning, Time Management, C++"
"Swift, Terraform, Communication and have worked on related projects.","Swift, Terraform, Communication"
"Communication, Network Security and have worked on related projects.","Communication, Network Security"
"Leadership, Kotlin, Ansible, Deep Learning and have worked on related projects.","Leadership, Kotlin, Ansible, Deep Learning"
"Communication, Ethical Hacking and have worked on related projects.","Communication, Ethical Hacking"
"Machine Learning, Problem Solving, Network Security and have worked on related projects.","Machine Learning, Problem Solving, Network Security"
"GCP, Ethical Hacking, Pandas, Teamwork and have worked on related projects.","GCP, Ethical Hacking, Pandas, Teamwork"
"Scikit-learn, Time Management, Azure and have worked on related projects.","Scikit-learn, Time Management, Azure"
"Ethical Hacking, Machine Learning, Teamwork and have worked on related projects.","Ethical Hacking, Machine Learning, Teamwork"
"Problem Solving, Machine Learning, Docker, Java and have worked on related projects.","Problem Solving, Machine Learning, Docker, Java"
"Machine Learning, Ansible, Ethical Hacking, Teamwork and have worked on related projects.","Machine Learning, Ansible, Ethical Hacking, Teamwork"
"Problem Solving, Pandas, Kubernetes and have worked on related projects.","Problem Solving, Pandas, Kubernetes"
"Ansible, Scikit-learn and have worked on related projects.","Ansible, Scikit-learn"
"AWS, Problem Solving, Scikit-learn and have worked on related projects.","AWS, Problem Solving, Scikit-learn"
"Communication, SIEM and have worked on related projects.","Communication, SIEM"
"Terraform, Python, Network Security and have worked on related projects.","Terraform, Python, Network Security"
"Kubernetes, Time Management and have worked on related projects.","Kubernetes, Time Management"
"Ansible, Penetration Testing, Teamwork and have worked on related projects.","Ansible, Penetration Testing, Teamwork"
"Penetration Testing, Kotlin, CI/CD and have worked on related projects.","Penetration Testing, Kotlin, CI/CD"
"C++, Network Security, Leadership and have worked on related projects.","C++, Network Security, Leadership"
"Penetration Testing, Teamwork, Deep Learning, Jenkins and have worked on related projects.","Penetration Testing, Teamwork, Deep Learning, Jenkins"
"Kubernetes, Communication and have worked on related projects.","Kubernetes, Communication"
"Communication, TensorFlow, Penetration Testing, GCP and have worked on related projects.","Communication, TensorFlow, Penetration Testing, GCP"
"SOC Analysis, PHP, Scikit-learn and have worked on related projects.","SOC Analysis, PHP, Scikit-learn"
"Azure, PyTorch and have worked on related projects.","Azure, PyTorch"
"Leadership, Scikit-learn, Swift and have worked on related projects.","Leadership, Scikit-learn, Swift"
"Leadership, C++ and have worked on related projects.","Leadership, C++"
"Scikit-learn, Ethical Hacking, Azure, C++ and have worked on related projects.","Scikit-learn, Ethical Hacking, Azure, C++"
"Penetration Testing, Teamwork and have worked on related projects.","Penetration Testing, Teamwork"
"Scikit-learn, Problem Solving, PHP and have worked on related projects.","Scikit-learn, Problem Solving, PHP"
"SQL, Terraform and have worked on related projects.","SQL, Terraform"
"Jenkins, Time Management, SOC Analysis and have worked on related projects.","Jenkins, Time Management, SOC Analysis"
"Kotlin, Ethical Hacking, Docker and have worked on related projects.","Kotlin, Ethical Hacking, Docker"
"GCP, C++, Scikit-learn and have worked on related projects.","GCP, C++, Scikit-learn"
"Deep Learning, Azure, Network Security, PHP and have worked on related projects.","Deep Learning, Azure, Network Security, PHP"
"Time Management, SQL, Network Security and have worked on related projects.","Time Management, SQL, Network Security"
"Deep Learning, Jenkins and have worked on related projects.","Deep Learning, Jenkins"
"Ansible, Pandas, JavaScript, Problem Solving and have worked on related projects.","Ansible, Pandas, JavaScript, Problem Solving"
"Leadership, JavaScript, Pandas and have worked on related projects.","Leadership, JavaScript, Pandas"
"Machine Learning, Penetration Testing, Ansible, Python and have worked on related projects.","Machine Learning, Penetration Testing, Ansible, Python"
"Ethical Hacking, GCP, PHP and have worked on related projects.","Ethical Hacking, GCP, PHP"
"JavaScript, Teamwork, Ethical Hacking and have worked on related projects.","JavaScript, Teamwork, Ethical Hacking"
"SIEM, Terraform and have worked on related projects.","SIEM, Terraform"
"C++, Terraform, Teamwork and have worked on related projects.","C++, Terraform, Teamwork"
"Teamwork, PHP, Deep Learning, Kubernetes and have worked on related projects.","Teamwork, PHP, Deep Learning, Kubernetes"
"AWS, Scikit-learn, Go and have worked on related projects.","AWS, Scikit-learn, Go"
"Teamwork, Pandas, Ruby and have worked on related projects.","Teamwork, Pandas, Ruby"
"Ansible, Problem Solving, Pandas, Ethical Hacking and have worked on related projects.","Ansible, Problem Solving, Pandas, Ethical Hacking"
"PHP, Communication, PyTorch and have worked on related projects.","PHP, Communication, PyTorch"
"Leadership, Network Security and have worked on related projects.","Leadership, Network Security"
"Deep Learning, Kotlin, Teamwork and have worked on related projects.","Deep Learning, Kotlin, Teamwork"
"Terraform, Pandas, Ethical Hacking and have worked on related projects.","Terraform, Pandas, Ethical Hacking"
"SIEM, Leadership, Azure and have worked on related projects.","SIEM, Leadership, Azure"
"Ethical Hacking, Machine Learning, Communication, Ansible and have worked on related projects.","Ethical Hacking, Machine Learning, Communication, Ansible"
"Time Management, Scikit-learn, Ethical Hacking and have worked on related projects.","Time Management, Scikit-learn, Ethical Hacking"
"Penetration Testing, JavaScript, TensorFlow, Teamwork and have worked on related projects.","Penetration Testing, JavaScript, TensorFlow, Teamwork"
"SOC Analysis, PHP, Deep Learning and have worked on related projects.","SOC Analysis, PHP, Deep Learning"
"Docker, Machine Learning and have worked on related projects.","Docker, Machine Learning"
"SOC Analysis, Pandas, PHP and have worked on related projects.","SOC Analysis, Pandas, PHP"
"Deep Learning, SQL, Leadership and have worked on related projects.","Deep Learning, SQL, Leadership"
"Leadership, Penetration Testing, C++, TensorFlow and have worked on related projects.","Leadership, Penetration Testing, C++, TensorFlow"
"Communication, SIEM, Deep Learning, Jenkins and have worked on related projects.","Communication, SIEM, Deep Learning, Jenkins"
"AWS, Machine Learning and have worked on related projects.","AWS, Machine Learning"
"PyTorch, SIEM, AWS and have worked on related projects.","PyTorch, SIEM, AWS"
"Scikit-learn, Azure, Java and have worked on related projects.","Scikit-learn, Azure, Java"
"SQL, Problem Solving, Network Security and have worked on related projects.","SQL, Problem Solving, Network Security"
"Teamwork, Jenkins, SIEM and have worked on related projects.","Teamwork, Jenkins, SIEM"
"Teamwork, Ansible, Penetration Testing, PHP and have worked on related projects.","Teamwork, Ansible, Penetration Testing, PHP"
"Azure, Time Management and have worked on related projects.","Azure, Time Management"
"Penetration Testing, TensorFlow, Kotlin and have worked on related projects.","Penetration Testing, TensorFlow, Kotlin"
"Jenkins, Communication, SQL and have worked on related projects.","Jenkins, Communication, SQL"
"Terraform, JavaScript, Penetration Testing and have worked on related projects.","Terraform, JavaScript, Penetration Testing"
"Penetration Testing, CI/CD, Pandas and have worked on related projects.","Penetration Testing, CI/CD, Pandas"
"Machine Learning, Swift, Kubernetes, SIEM and have worked on related projects.","Machine Learning, Swift, Kubernetes, SIEM"
"Time Management, PyTorch, SOC Analysis and have worked on related projects.","Time Management, PyTorch, SOC Analysis"
"SOC Analysis, JavaScript and have worked on related projects.","SOC Analysis, JavaScript"
"Pandas, Teamwork and have worked on related projects.","Pandas, Teamwork"
"Scikit-learn, Leadership and have worked on related projects.","Scikit-learn, Leadership"
"Kotlin, TensorFlow and have worked on related projects.","Kotlin, TensorFlow"
"GCP, Penetration Testing, Teamwork and have worked on related projects.","GCP, Penetration Testing, Teamwork"
"Deep Learning, SIEM, Teamwork and have worked on related projects.","Deep Learning, SIEM, Teamwork"
"JavaScript, GCP and have worked on related projects.","JavaScript, GCP"
